nrCpfCnpj,vlPresta,vlMora,qtPrestacoes,vlMovimento,vlPag,vlTotal,dtPag,dtContrato,dtVctPre
560.637.113-84,4441.45,189.62,9,7191.26,694.65,4631.07,20240110,20231031,20231121
421.029.667-80,2301.93,214.05,1,5906.22,1146.64,2515.98,20240114,20210324,20220409
982.126.987-77,3564.56,64.97,6,4730.2,4908.5,3629.53,20240111,20200612,20201025
893.019.908-90,1973.78,131.7,6,1240.38,2751.88,2105.48,20240102,20200711,20231109
21.451.895/0001-50,4555.21,214.95,10,5440.12,3801.49,4770.16,20240113,20221101,20231015
735.998.279-07,2966.85,177.7,2,8083.07,4401.2,3144.55,20240103,20200720,20220204
389.999.560-08,2262.03,265.44,7,6423.06,4005.86,2527.47,20240103,20230614,20231116
674.062.025-39,4819.37,393.73,4,8201.04,1111.33,5213.1,20240114,20220214,20221011
898.978.908-74,2017.43,19.62,1,9468.75,758.04,2037.05,20240107,20210602,20210721
049.805.774-74,4690.81,197.61,6,2043.34,669.41,4888.42,20240111,20210112,20210508
62.876.620/0001-46,3863.99,436.01,3,3716.9,3267.62,4300.0,20240106,20200215,20220125
59.539.279/0001-29,2553.44,434.75,11,8746.64,2642.28,2988.19,20240114,20230218,20231219
126.906.827-02,1342.79,439.58,11,9393.79,2319.45,1782.37,20240109,20210712,20230804
41.263.169/0001-11,4235.49,126.03,5,2479.66,3065.53,4361.52,20240101,20220916,20230801
54.880.688/0001-70,3420.72,208.85,6,4189.17,1885.28,3629.57,20240102,20200818,20230315
29.098.983/0001-22,3529.33,238.72,10,7331.26,1849.15,3768.05,20240107,20220427,20231221
581.834.420-72,4843.14,269.07,1,2306.25,2445.93,5112.21,20240114,20240105,20240110
41.891.218/0001-60,3077.26,247.67,3,1506.33,2507.0,3324.93,20240109,20210813,20231204
911.953.043-90,4092.21,242.74,10,9157.49,4737.16,4334.95,20240110,20210105,20230928
654.239.906-29,3610.97,284.83,12,3367.69,971.36,3895.8,20240106,20210107,20230318
198.958.614-78,1267.68,128.38,2,1457.61,834.74,1396.06,20240101,20210804,20220513
59.692.922/0001-50,1988.46,85.82,6,9851.32,3395.51,2074.28,20240114,20210603,20220916
43.408.546/0001-99,3568.37,452.75,6,1771.82,3339.91,4021.12,20240107,20231125,20231205
41.893.176/0001-05,4020.65,82.43,11,4624.37,746.31,4103.08,20240113,20200804,20220919
851.968.808-01,1462.21,223.1,11,1329.48,1767.39,1685.31,20240101,20220420,20221113
37.738.947/0001-04,3124.4,410.16,10,9359.28,4472.85,3534.56,20240108,20200327,20211104
18.224.021/0001-56,3925.11,398.54,5,9987.36,3891.92,4323.65,20240108,20220710,20221027
807.809.758-12,3323.84,230.58,8,9022.4,3970.26,3554.42,20240112,20221007,20221222
31.941.609/0001-99,1395.0,428.33,10,9578.16,3901.25,1823.33,20240115,20220913,20221219
69.775.912/0001-31,4295.84,419.08,7,8968.61,1586.37,4714.92,20240104,20230523,20230624
30.505.602/0001-61,1330.95,246.58,1,5658.3,882.53,1577.53,20240101,20220330,20231103
59.342.729/0001-99,2207.3,353.64,4,1395.85,4466.88,2560.94,20240104,20211005,20220630
965.821.195-08,2774.67,444.79,6,7004.08,4004.9,3219.46,20240106,20220906,20221015
599.311.282-40,4738.72,468.26,1,6840.63,4754.9,5206.98,20240111,20200521,20220208
90.690.909/0001-01,2069.65,81.53,12,3012.52,1189.77,2151.18,20240108,20211215,20220105
96.236.806/0001-52,2083.77,368.07,11,8118.66,2176.57,2451.84,20240109,20200401,20220918
35.655.294/0001-74,1519.87,162.12,4,4527.37,3703.81,1681.99,20240105,20230118,20230301
58.412.781/0001-01,4614.23,4.91,6,2450.53,3748.25,4619.14,20240104,20221130,20230703
24.400.206/0001-77,1770.09,376.68,8,6434.98,4447.06,2146.77,20240104,20210803,20230812
556.128.772-93,2730.62,356.53,11,5266.37,549.35,3087.15,20240106,20210910,20220524
219.224.050-35,3500.61,273.79,10,3181.8,2836.01,3774.4,20240109,20230628,20231227
99.498.447/0001-08,2387.85,56.1,5,1143.86,3403.24,2443.95,20240107,20230510,20230615
49.337.060/0001-93,4411.5,134.14,11,6386.41,944.63,4545.64,20240103,20230311,20230725
63.124.144/0001-70,2752.29,229.88,5,7022.68,900.18,2982.17,20240102,20210821,20230514
92.696.422/0001-61,1041.75,413.74,1,1073.84,1057.7,1455.49,20240103,20210420,20220417
52.791.322/0001-08,2833.63,348.43,4,4460.3,3030.67,3182.06,20240112,20230807,20231011
08.877.044/0001-06,3452.72,362.82,5,7869.58,4790.51,3815.54,20240105,20210309,20230901
80.520.125/0001-81,3065.18,74.42,5,3381.98,2115.63,3139.6,20240104,20210910,20210928
87.782.194/0001-02,2467.32,435.59,10,5655.88,1933.64,2902.91,20240115,20210629,20231205
88.461.125/0001-60,4922.07,372.47,11,1792.49,697.15,5294.54,20240112,20200207,20210611
686.241.844-01,2928.22,212.18,12,4378.21,4614.2,3140.4,20240101,20210211,20220609
726.199.675-03,4347.12,112.26,6,9810.67,2156.44,4459.38,20240104,20220224,20231028
38.978.672/0001-49,2014.94,170.1,9,6681.61,1139.5,2185.04,20240103,20220130,20220429
66.604.761/0001-60,1215.79,202.51,3,4248.93,4031.34,1418.3,20240104,20220331,20221221
63.674.570/0001-87,3965.09,93.96,11,7704.27,1442.44,4059.05,20240112,20201003,20231122
40.268.541/0001-10,2764.52,475.04,8,3197.97,3264.78,3239.56,20240104,20221103,20230902
53.384.352/0001-54,1071.82,64.09,12,4423.16,1787.29,1135.91,20240102,20230401,20230711
47.183.433/0001-93,4188.94,170.18,1,2693.45,674.14,4359.12,20240109,20210306,20230814
23.045.529/0001-27,4829.23,39.97,10,4303.67,696.45,4869.2,20240113,20230312,20230409
34.436.884/0001-43,3488.52,408.63,11,2803.2,3486.26,3897.15,20240112,20220115,20230402
64.948.670/0001-17,4711.93,168.67,12,4470.05,3106.23,4880.6,20240108,20210927,20211016
889.494.135-31,4601.55,69.49,1,3121.54,1069.87,4671.04,20240112,20220719,20231212
25.652.741/0001-88,3911.46,97.82,2,3774.98,3504.37,4009.28,20240115,20230929,20231218
57.823.134/0001-20,3687.15,167.92,6,2010.99,4633.3,3855.07,20240115,20200513,20231228
24.320.705/0001-54,3862.23,469.43,8,3534.15,2491.7,4331.66,20240113,20231203,20231211
809.394.544-08,1512.15,69.1,1,3353.96,756.44,1581.25,20240110,20220313,20230618
687.477.805-68,1739.12,233.88,8,2003.05,3202.66,1973.0,20240103,20210816,20220210
07.583.455/0001-26,4748.66,189.31,1,8489.6,1751.7,4937.97,20240103,20230620,20230828
65.094.063/0001-08,1308.34,461.93,6,3118.14,4097.95,1770.27,20240111,20200108,20200319
675.714.365-83,4317.02,193.93,6,6116.2,4138.37,4510.95,20240105,20211112,20240101
358.057.332-26,4457.73,271.58,5,9481.65,3055.84,4729.31,20240101,20201119,20211112
989.066.715-04,1599.48,14.21,12,1903.07,1009.99,1613.69,20240106,20210607,20210615
142.899.420-32,2789.77,150.46,12,8668.95,4093.19,2940.23,20240113,20221010,20221116
42.686.119/0001-00,4686.04,242.7,1,7640.66,687.72,4928.74,20240114,20211110,20220523
038.710.397-05,4983.74,50.99,12,5442.13,2911.97,5034.73,20240103,20210524,20230717
88.217.625/0001-50,2451.05,332.1,12,1034.69,1869.9,2783.15,20240106,20210924,20211014
62.534.121/0001-70,4019.33,145.28,4,4002.25,1138.74,4164.61,20240111,20230515,20231028
589.829.949-12,1713.17,157.88,4,2165.76,1593.64,1871.05,20240114,20210906,20230321
45.752.347/0001-29,3760.97,460.1,7,3258.86,1179.65,4221.07,20240109,20220313,20220724
54.255.812/0001-07,4766.79,321.38,1,6941.2,4253.07,5088.17,20240102,20200304,20220128
062.421.535-05,1401.2,410.72,12,4818.64,992.97,1811.92,20240106,20220601,20230904
793.180.415-51,3163.75,216.91,6,6567.57,4408.35,3380.66,20240111,20211118,20230110
414.027.636-38,1105.3,136.94,2,6172.31,2413.99,1242.24,20240115,20211023,20220712
49.037.786/0001-00,3608.3,313.83,1,7649.29,2564.27,3922.13,20240110,20211016,20211216
98.120.140/0001-06,3944.83,154.83,6,1379.4,3910.3,4099.66,20240104,20220504,20230502
10.175.664/0001-45,1392.28,405.53,5,2712.06,3032.84,1797.81,20240115,20200621,20231206
41.167.421/0001-99,4455.39,380.86,10,9954.28,3847.27,4836.25,20240111,20211112,20220513
91.756.605/0001-62,3543.41,434.57,3,5833.14,1534.17,3977.98,20240102,20221015,20230521
08.624.719/0001-05,2323.78,361.79,7,6021.15,3181.35,2685.57,20240114,20231001,20231130
13.977.391/0001-40,3085.43,307.96,2,2078.34,3076.36,3393.39,20240109,20210616,20231111
304.482.717-53,2134.43,207.67,6,3334.85,4420.34,2342.1,20240106,20210915,20220923
295.386.506-38,2261.57,372.44,10,4309.3,2510.99,2634.01,20240102,20231125,20231207
82.091.578/0001-65,4954.0,265.95,6,1045.94,4872.9,5219.95,20240103,20230107,20230408
33.649.100/0001-00,2181.42,342.6,6,2156.67,4727.84,2524.02,20240115,20211214,20220704
380.751.321-30,1709.87,155.32,1,5971.4,980.7,1865.19,20240107,20201011,20210209
268.832.908-18,1507.3,224.21,1,4036.72,2003.0,1731.51,20240106,20231223,20231231
09.175.725/0001-95,1987.86,295.11,1,5896.46,2363.62,2282.97,20240108,20201109,20210901
99.146.038/0001-34,1812.84,382.29,7,3113.28,1473.51,2195.13,20240110,20230526,20230927
70.484.869/0001-34,2278.62,378.98,11,8783.94,1708.7,2657.6,20240111,20230416,20230715
77.607.573/0001-02,2553.48,268.33,1,5567.64,983.91,2821.81,20240102,20220126,20230811
95.917.895/0001-30,4391.79,356.05,5,5993.73,4809.19,4747.84,20240109,20200627,20231129
483.384.639-06,1763.24,187.9,9,3614.75,2772.32,1951.14,20240101,20210725,20230814
819.355.032-35,1473.81,310.05,11,4421.13,4146.74,1783.86,20240104,20210508,20220904
88.563.607/0001-20,4948.09,277.2,2,8680.3,2779.05,5225.29,20240112,20201118,20230424
179.000.368-73,2629.06,173.62,2,3649.22,1928.58,2802.68,20240108,20201029,20230606
22.267.055/0001-03,3963.17,11.08,10,9328.7,622.61,3974.25,20240102,20210211,20231031
39.929.557/0001-47,4271.58,79.86,6,4124.45,1540.27,4351.44,20240106,20220612,20230726
871.334.247-97,4310.86,402.89,10,5715.55,2455.44,4713.75,20240114,20230503,20230828
47.085.961/0001-00,3504.96,57.77,10,1336.53,2592.2,3562.73,20240113,20220107,20220806
01.706.662/0001-44,3623.66,301.0,1,6518.09,3569.71,3924.66,20240109,20200823,20230520
08.764.096/0001-76,1651.44,300.14,4,2516.24,3605.96,1951.58,20240115,20200810,20220303
11.472.537/0001-70,2362.2,292.59,9,2130.42,4289.02,2654.79,20240113,20210614,20211129
072.193.962-79,4004.86,26.7,11,5176.57,4311.73,4031.56,20240114,20200514,20220124
804.739.598-01,2648.44,69.17,8,2468.6,2841.69,2717.61,20240111,20211209,20221211
40.802.257/0001-81,3193.35,152.46,10,2087.84,1108.62,3345.81,20240101,20200106,20220513
657.038.007-90,2362.54,165.64,9,9981.16,4482.49,2528.18,20240105,20201221,20210328
81.610.406/0001-98,2848.88,410.25,4,2418.68,1389.9,3259.13,20240111,20220530,20231210
56.275.763/0001-08,4404.06,451.62,1,8594.4,1155.54,4855.68,20240102,20230417,20231004
161.640.599-68,4779.38,404.74,5,1665.73,1592.71,5184.12,20240101,20220307,20220929
48.615.338/0001-84,3526.99,250.7,3,9068.34,4674.14,3777.69,20240114,20220304,20220611
37.202.193/0001-73,3822.23,315.66,6,3402.07,727.15,4137.89,20240111,20210421,20230602
311.432.280-81,1731.96,192.21,11,5595.54,2526.95,1924.17,20240107,20221031,20230424
426.198.023-18,4111.08,251.4,8,5456.72,4618.12,4362.48,20240102,20210516,20210930
64.932.675/0001-51,3937.78,67.91,6,5368.19,3784.87,4005.69,20240109,20231027,20231208
623.746.112-48,4498.66,102.31,12,9383.61,3627.34,4600.97,20240112,20230521,20231025
845.592.243-58,3728.7,241.69,4,4366.89,733.83,3970.39,20240107,20200321,20220319
30.812.414/0001-86,2656.18,297.83,5,8024.71,535.0,2954.01,20240112,20210618,20211231
331.254.764-45,1083.03,390.21,1,9536.68,3247.16,1473.24,20240107,20231022,20231225
23.083.728/0001-20,3500.62,494.52,1,3698.19,4495.52,3995.14,20240108,20220711,20231218
758.822.885-76,1205.13,472.13,12,1724.14,930.82,1677.26,20240113,20210127,20230917
153.555.867-91,4325.46,431.13,12,8057.12,2419.98,4756.59,20240105,20210607,20230807
238.759.937-30,1910.94,81.01,8,5356.98,1265.44,1991.95,20240104,20230108,20230913
94.440.841/0001-63,2743.49,114.11,7,1522.69,1680.74,2857.6,20240104,20220225,20230421
205.277.169-79,4796.89,346.54,3,6301.49,3998.3,5143.43,20240104,20230626,20230827
58.067.497/0001-45,1994.04,332.56,2,9970.93,3941.29,2326.6,20240112,20220424,20231118
17.732.258/0001-85,1778.11,114.85,12,3066.15,1293.57,1892.96,20240107,20231123,20231230
53.004.682/0001-77,4002.03,275.09,7,9543.11,1670.22,4277.12,20240112,20201114,20220617
38.991.716/0001-70,3326.21,497.76,8,5710.3,923.65,3823.97,20240107,20230317,20230429
722.341.881-80,2330.18,263.36,10,4803.46,1645.23,2593.54,20240115,20231008,20231122
57.961.921/0001-38,3327.4,480.66,10,1637.01,3059.92,3808.06,20240113,20210415,20230709
86.553.630/0001-09,1613.04,417.39,4,7509.26,2925.15,2030.43,20240110,20210610,20210810
767.425.390-20,2512.9,89.37,11,4304.69,4927.02,2602.27,20240106,20200716,20230804
32.689.695/0001-57,4015.06,207.18,8,1205.96,1670.84,4222.24,20240101,20230321,20231126
63.770.040/0001-32,3756.22,331.37,10,8380.59,3199.91,4087.59,20240110,20220726,20221029
66.616.213/0001-50,3495.58,322.24,6,2053.53,3744.99,3817.82,20240104,20220705,20221004
85.286.955/0001-00,2312.6,341.82,6,7473.88,4776.31,2654.42,20240105,20200315,20200412
124.474.127-20,3988.58,154.83,9,7468.68,4571.78,4143.41,20240104,20220217,20231028
151.866.350-81,2132.08,436.16,4,5785.8,2751.66,2568.24,20240101,20210926,20230510
66.522.255/0001-22,2560.2,360.13,4,2398.73,1484.68,2920.33,20240112,20210928,20231008
551.470.470-00,3267.11,112.65,9,4590.04,707.11,3379.76,20240106,20220627,20220909
057.274.784-56,2146.28,173.84,11,3126.79,1281.95,2320.12,20240108,20210923,20220518
37.251.970/0001-70,4431.34,490.86,11,5617.57,2563.95,4922.2,20240107,20220515,20231029
80.240.993/0001-08,1613.65,59.07,9,5278.95,4375.09,1672.72,20240101,20210328,20211223
600.404.215-38,1646.09,338.92,8,3215.88,2460.14,1985.01,20240108,20221105,20230725
754.112.438-90,2403.51,58.99,12,4507.77,1762.03,2462.5,20240103,20200310,20210405
733.670.799-87,2815.22,243.59,5,5447.98,3132.02,3058.81,20240112,20200130,20210828
513.608.548-78,3899.43,155.01,2,9455.26,1945.75,4054.44,20240107,20210625,20221211
743.334.753-41,4021.97,366.8,9,8293.2,4269.59,4388.77,20240102,20220719,20230403
35.705.914/0001-32,3467.88,128.51,8,8025.24,2947.58,3596.39,20240110,20231002,20231123
787.518.893-82,2819.1,324.05,2,2557.26,2473.43,3143.15,20240115,20231229,20240111
662.634.980-56,2233.69,468.29,2,4098.77,3322.74,2701.98,20240113,20230526,20230926
72.571.381/0001-70,2258.2,376.25,6,4223.75,1195.15,2634.45,20240108,20200522,20221212
351.449.803-25,1357.71,70.04,7,4180.74,3818.46,1427.75,20240102,20200920,20210709
684.509.215-03,4506.7,435.84,12,2897.91,3359.46,4942.54,20240111,20240102,20240107
283.436.687-07,1765.1,273.83,3,5016.65,707.4,2038.93,20240111,20220107,20230102
915.279.230-70,1942.74,415.74,5,7715.63,1571.09,2358.48,20240108,20211121,20221003
60.633.878/0001-96,1136.55,57.34,11,2916.73,2186.03,1193.89,20240114,20211127,20220108
432.640.996-75,4782.12,138.0,10,6402.6,2954.25,4920.12,20240102,20220821,20221219
68.170.406/0001-56,3277.92,59.78,1,3456.15,2943.84,3337.7,20240101,20210216,20220607
64.576.425/0001-26,2331.43,341.06,3,2315.63,4505.08,2672.49,20240109,20221119,20231111
29.247.289/0001-20,2209.11,251.75,4,1328.92,3113.94,2460.86,20240110,20221124,20221218
946.133.300-50,3541.11,269.29,8,7527.36,1241.1,3810.4,20240106,20210120,20220712
21.842.182/0001-18,2656.79,250.93,5,8510.31,3129.26,2907.72,20240114,20231203,20231203
77.088.878/0001-55,1186.46,75.44,4,8625.72,1676.13,1261.9,20240108,20220106,20231225
058.931.351-72,1293.63,42.69,11,5258.45,1115.57,1336.32,20240112,20200702,20211018
89.204.636/0001-69,2004.96,112.67,6,2220.45,3046.3,2117.63,20240115,20220820,20231104
15.472.915/0001-77,3544.66,368.32,2,1678.29,4866.69,3912.98,20240104,20240115,20240115
92.469.155/0001-90,2152.1,398.3,1,8193.56,3682.07,2550.4,20240108,20220514,20230812
148.190.921-54,2083.35,227.46,2,5712.79,580.45,2310.81,20240107,20200419,20210414
69.522.695/0001-78,4854.57,14.71,7,8093.21,4783.12,4869.28,20240109,20230628,20231010
38.521.476/0001-40,1314.11,317.32,7,7402.36,638.84,1631.43,20240101,20240104,20240114
862.495.570-08,3618.28,150.8,12,7523.63,3698.82,3769.08,20240105,20220725,20220806
99.677.179/0001-83,4357.13,347.06,7,6150.24,4221.48,4704.19,20240109,20220601,20230812
84.639.044/0001-56,3994.72,267.42,5,6265.16,3567.21,4262.14,20240105,20220809,20221007
600.398.764-20,2916.46,194.1,12,4797.67,1807.72,3110.56,20240104,20200914,20230909
026.829.067-96,4019.49,407.8,5,9492.45,1505.45,4427.29,20240101,20210306,20230406
906.942.123-26,4980.42,448.97,1,3426.54,3321.62,5429.39,20240106,20221020,20230514
373.831.141-67,4363.24,118.08,10,7476.3,670.35,4481.32,20240110,20210613,20220829
81.911.934/0001-87,4415.81,305.98,10,3623.61,1018.69,4721.79,20240112,20230731,20231019
367.980.274-90,3214.7,486.56,1,1414.48,658.4,3701.26,20240104,20230913,20231003
620.543.768-68,4187.0,2.11,9,2886.72,1309.94,4189.11,20240109,20201218,20220319
438.520.812-38,1919.7,51.39,6,5060.06,1399.3,1971.09,20240105,20210728,20220414
13.990.340/0001-59,4387.83,480.95,5,2327.33,1536.95,4868.78,20240108,20210626,20210627
48.833.838/0001-92,1782.36,132.34,6,7397.49,1164.93,1914.7,20240109,20211122,20220810
98.156.478/0001-00,3777.69,342.74,6,5546.46,1708.75,4120.43,20240114,20220912,20231114
00.369.510/0001-30,2316.32,117.7,3,2934.34,4185.78,2434.02,20240101,20221212,20230819
